Ref #	Form / Wkst Line #	Data Type	Description	TA Calculation Notes (Plain Language)	Calculation	Override Condition	Model Type (Dev)	Property Name (Dev)
TC40BTotalIncA	"TC-40B, Line 35 Column A"	Money (allow negative)	Subtract Line 34 from Line 17 for Column A	Line 17 Column A minus Line 34 Column A	"[TC40BTotalIncA] minus[TC40BTotalAdjA]"			
TC40BTotalIncB	"TC-40B, Line 35 Column B"	Money (allow negative)	"Subtract Line 34 from Line 17 for Column B (Line 35, Column B MUST equal TC-40, Line 9)"	Line 17 Column B minus Line 34 Column B	"[TC40BTotalIncB] minus[TC40BTotalAdjB]"			
			NON or PART-YEAR RESIDENT UTAH TAX					
TC40BPYNRRatio	"TC-40B, Line 36"	Ratio/Percentage	Divide Line 35 Column A by Line 35 Column B (to 4 decimal places) - Do not enter a number greater than 1.0000 or less than 0.0000.	Line 35 Column A divided by Line 35 Column B (to 4 decimal places) (cannot be greater than 1.0000 or less than 0.0000)	"[TC40BTotalIncA] divided by[TC40BTotalIncB]"			
TC40BTaxIncome	"TC-40B, Line 37"	Money (non-negative)	"Subtract TC-40, Line 24 from TC-40, Line 23 and enter the result (not less than zero) here"	"TC-40, Line 23 minus TC-40 Line 24 (but not less than 0)"	"[UTTC40Calc:UTTC40Tax3] minus[UTTC40Calc:UTTC40ANRCR]"			
TC40BUtahTax	"TC-40B, Line 38"	Money (non-negative)	"Multiply Line 37 by the decimal on Line 36. This is your Utah tax. Enter on TC-40, Page 2, Line 25."	Multiply Line 37 by the decimal on Line 36	"[TC40BTaxIncome] *[TC40BPYNRRatio]"			
			END OF FORM					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
